source,id,parentId,priority,match_type,category,businessRuleLabel,likert_value,likert_label,ALL_OF,ANY_OF,NONE_OF,threshold_attr,weight
Credly,2001,null,1,profile,Technical,Badge Count Scale,1,Very Low,CR-1001,,,,-2
Credly,2001,null,1,profile,Technical,Badge Count Scale,2,Low,CR-1002,,,,-1
Credly,2001,null,1,profile,Technical,Badge Count Scale,3,Medium,CR-1003,,,,0
Credly,2001,null,1,profile,Technical,Badge Count Scale,4,High,CR-1004,,,,1
Credly,2001,null,1,profile,Technical,Badge Count Scale,5,Very High,CR-1005,,,,2
Credly,2002,null,2,profile,Technical,Latest Badge Recency Scale,1,Very Low,CR-1014,,,,-2
Credly,2002,null,2,profile,Technical,Latest Badge Recency Scale,2,Low,CR-1013,,,,-1
Credly,2002,null,2,profile,Technical,Latest Badge Recency Scale,3,Medium,CR-1012,,,,0
Credly,2002,null,2,profile,Technical,Latest Badge Recency Scale,4,High,CR-1011,,,,1
Credly,2002,null,2,profile,Technical,Latest Badge Recency Scale,5,Very High,CR-1010,,,,2
Credly,2003,null,3,profile,Authenticity,Issuer Diversity Scale,1,Very Low,CR-1020,,,,-2
Credly,2003,null,3,profile,Authenticity,Issuer Diversity Scale,2,Low,CR-1021,,,,-1
Credly,2003,null,3,profile,Authenticity,Issuer Diversity Scale,3,Medium,CR-1022,,,,0
Credly,2003,null,3,profile,Authenticity,Issuer Diversity Scale,4,High,CR-1023,,,,1
Credly,2003,null,3,profile,Authenticity,Issuer Diversity Scale,5,Very High,CR-1024,,,,2
Credly,2004,null,4,profile,Risk,Expired Badges Scale,1,Very Low,CR-1034,,,,-2
Credly,2004,null,4,profile,Risk,Expired Badges Scale,2,Low,CR-1033,,,,-1
Credly,2004,null,4,profile,Risk,Expired Badges Scale,3,Medium,CR-1032,,,,0
Credly,2004,null,4,profile,Risk,Expired Badges Scale,4,High,CR-1031,,,,1
Credly,2004,null,4,profile,Risk,Expired Badges Scale,5,Very High,CR-1030,,,,2
Credly,2005,null,5,profile,Risk,Revoked Badges Scale,1,Very Low,CR-1044,,,,-2
Credly,2005,null,5,profile,Risk,Revoked Badges Scale,2,Low,CR-1043,,,,-1
Credly,2005,null,5,profile,Risk,Revoked Badges Scale,3,Medium,CR-1042,,,,0
Credly,2005,null,5,profile,Risk,Revoked Badges Scale,4,High,CR-1041,,,,1
Credly,2005,null,5,profile,Risk,Revoked Badges Scale,5,Very High,CR-1040,,,,2
Credly,2006,null,6,profile,Technical,Unique Skills Scale,1,Very Low,CR-1050,,,,-2
Credly,2006,null,6,profile,Technical,Unique Skills Scale,2,Low,CR-1051,,,,-1
Credly,2006,null,6,profile,Technical,Unique Skills Scale,3,Medium,CR-1052,,,,0
Credly,2006,null,6,profile,Technical,Unique Skills Scale,4,High,CR-1053,,,,1
Credly,2006,null,6,profile,Technical,Unique Skills Scale,5,Very High,CR-1054,,,,2
Credly,2007,null,7,profile,Authenticity,Evidence Coverage Scale,1,Very Low,CR-1060,,,,-2
Credly,2007,null,7,profile,Authenticity,Evidence Coverage Scale,2,Low,CR-1061,,,,-1
