source,id,parentId,priority,match_type,category,businessRuleLabel,likert_value,likert_label,ALL_OF,ANY_OF,NONE_OF,threshold_attr,weight
Fiverr,4001,null,1,profile,Professional,Languages Count Scale,1,Very Low,FV-2010a,,,,-2
Fiverr,4001,null,1,profile,Professional,Languages Count Scale,2,Low,FV-2010b,,,,-1
Fiverr,4001,null,1,profile,Professional,Languages Count Scale,3,Medium,FV-2010c,,,,0
Fiverr,4001,null,1,profile,Professional,Languages Count Scale,4,High,FV-2010d,,,,1
Fiverr,4001,null,1,profile,Professional,Languages Count Scale,5,Very High,FV-2010e,,,,2
Fiverr,4002,null,2,profile,Professional,Skills Count Scale,1,Very Low,FV-2011a,,,,-2
Fiverr,4002,null,2,profile,Professional,Skills Count Scale,2,Low,FV-2011b,,,,-1
Fiverr,4002,null,2,profile,Professional,Skills Count Scale,3,Medium,FV-2011c,,,,0
Fiverr,4002,null,2,profile,Professional,Skills Count Scale,4,High,FV-2011d,,,,1
Fiverr,4002,null,2,profile,Professional,Skills Count Scale,5,Very High,FV-2011e,,,,2
Fiverr,4003,null,3,profile,Professional,Certifications Count Scale,1,Very Low,FV-2012a,,,,-2
Fiverr,4003,null,3,profile,Professional,Certifications Count Scale,2,Low,FV-2012b,,,,-1
Fiverr,4003,null,3,profile,Professional,Certifications Count Scale,3,Medium,FV-2012c,,,,0
Fiverr,4003,null,3,profile,Professional,Certifications Count Scale,4,High,FV-2012d,,,,1
Fiverr,4003,null,3,profile,Professional,Certifications Count Scale,5,Very High,FV-2012e,,,,2
Fiverr,4004,null,4,profile,Professional,Educations Count Scale,1,Very Low,FV-2013a,,,,-2
Fiverr,4004,null,4,profile,Professional,Educations Count Scale,2,Low,FV-2013b,,,,-1
Fiverr,4004,null,4,profile,Professional,Educations Count Scale,3,Medium,FV-2013c,,,,0
Fiverr,4004,null,4,profile,Professional,Educations Count Scale,4,High,FV-2013d,,,,1
Fiverr,4004,null,4,profile,Professional,Educations Count Scale,5,Very High,FV-2013e,,,,2
Fiverr,4005,null,5,profile,Commerce,Hourly Rate Scale,1,Very Low,FV-2020a,,,,-2
Fiverr,4005,null,5,profile,Commerce,Hourly Rate Scale,2,Low,FV-2020b,,,,-1
Fiverr,4005,null,5,profile,Commerce,Hourly Rate Scale,3,Medium,FV-2020c,,,,0
Fiverr,4005,null,5,profile,Commerce,Hourly Rate Scale,4,High,FV-2020d,,,,1
Fiverr,4005,null,5,profile,Commerce,Hourly Rate Scale,5,Very High,FV-2020e,,,,2
Fiverr,4006,null,6,profile,Supply,Approved Gigs Scale,1,Very Low,FV-2030a,,,,-2
Fiverr,4006,null,6,profile,Supply,Approved Gigs Scale,2,Low,FV-2030b,,,,-1
Fiverr,4006,null,6,profile,Supply,Approved Gigs Scale,3,Medium,FV-2030c,,,,0
Fiverr,4006,null,6,profile,Supply,Approved Gigs Scale,4,High,FV-2030d,,,,1
Fiverr,4006,null,6,profile,Supply,Approved Gigs Scale,5,Very High,FV-2030e,,,,2
Fiverr,4007,null,7,profile,Portfolio,Portfolio Projects Scale,1,Very Low,FV-2040a,,,,-2
Fiverr,4007,null,7,profile,Portfolio,Portfolio Projects Scale,2,Low,FV-2040b,,,,-1
Fiverr,4007,null,7,profile,Portfolio,Portfolio Projects Scale,3,Medium,FV-2040c,,,,0
