id,category,label,metric,operator,value_low,value_high,value_exact,unit,window_value,window_unit,weight,is_gate
FV-2001,Authenticity,Profile Activated,profile_activated,EQ,,,TRUE,boolean,,,0.05,FALSE
FV-2002,Authenticity,Profile Image Present,profile_image_present,EXISTS,,,,boolean,,,0.03,FALSE
FV-2003,Authenticity,Verified Seller,verified_seller,EQ,,,TRUE,boolean,,,0.05,FALSE
FV-2004,Authenticity,Notable Clients Present,notable_clients_present,EXISTS,,,,boolean,,,0.04,FALSE
FV-2005,Authenticity,Intro Video Present,intro_video_present,EXISTS,,,,boolean,,,0.03,FALSE
FV-2010a,Professional,Languages Count (0),languages_count,RANGE,0,0,,count,,,0.04,FALSE
FV-2010b,Professional,Languages Count (1),languages_count,RANGE,1,1,,count,,,0.04,FALSE
FV-2010c,Professional,Languages Count (2–3),languages_count,RANGE,2,3,,count,,,0.04,FALSE
FV-2010d,Professional,Languages Count (4–5),languages_count,RANGE,4,5,,count,,,0.04,FALSE
FV-2010e,Professional,Languages Count (6+),languages_count,RANGE,6,1000000,,count,,,0.04,FALSE
FV-2011a,Professional,Skills Count (0),skills_count,RANGE,0,0,,count,,,0.05,FALSE
FV-2011b,Professional,Skills Count (1–2),skills_count,RANGE,1,2,,count,,,0.05,FALSE
FV-2011c,Professional,Skills Count (3–5),skills_count,RANGE,3,5,,count,,,0.05,FALSE
FV-2011d,Professional,Skills Count (6–9),skills_count,RANGE,6,9,,count,,,0.05,FALSE
FV-2011e,Professional,Skills Count (10+),skills_count,RANGE,10,1000000,,count,,,0.05,FALSE
FV-2012a,Professional,Certifications Count (0),certifications_count,RANGE,0,0,,count,,,0.04,FALSE
FV-2012b,Professional,Certifications Count (1),certifications_count,RANGE,1,1,,count,,,0.04,FALSE
FV-2012c,Professional,Certifications Count (2–3),certifications_count,RANGE,2,3,,count,,,0.04,FALSE
FV-2012d,Professional,Certifications Count (4–5),certifications_count,RANGE,4,5,,count,,,0.04,FALSE
FV-2012e,Professional,Certifications Count (6+),certifications_count,RANGE,6,1000000,,count,,,0.04,FALSE
FV-2013a,Professional,Educations Count (0),educations_count,RANGE,0,0,,count,,,0.03,FALSE
FV-2013b,Professional,Educations Count (1),educations_count,RANGE,1,1,,count,,,0.03,FALSE
FV-2013c,Professional,Educations Count (2),educations_count,RANGE,2,2,,count,,,0.03,FALSE
FV-2013d,Professional,Educations Count (3–4),educations_count,RANGE,3,4,,count,,,0.03,FALSE
FV-2013e,Professional,Educations Count (5+),educations_count,RANGE,5,1000000,,count,,,0.03,FALSE
FV-2020a,Commerce,Hourly Rate (No Rate),hourly_rate_cents,RANGE,0,0,,cents,,,0.07,FALSE
FV-2020b,Commerce,Hourly Rate ($0.01–$24.99),hourly_rate_cents,RANGE,1,2499,,cents,,,0.07,FALSE
FV-2020c,Commerce,Hourly Rate ($25–$49.99),hourly_rate_cents,RANGE,2500,4999,,cents,,,0.07,FALSE
FV-2020d,Commerce,Hourly Rate ($50–$99.99),hourly_rate_cents,RANGE,5000,9999,,cents,,,0.07,FALSE
FV-2020e,Commerce,Hourly Rate ($100+),hourly_rate_cents,RANGE,10000,100000000,,cents,,,0.07,FALSE
FV-2030a,Supply,Approved Gigs (0),approved_gigs_count,RANGE,0,0,,count,,,0.06,FALSE
FV-2030b,Supply,Approved Gigs (1–5),approved_gigs_count,RANGE,1,5,,count,,,0.06,FALSE
FV-2030c,Supply,Approved Gigs (6–20),approved_gigs_count,RANGE,6,20,,count,,,0.06,FALSE
FV-2030d,Supply,Approved Gigs (21–50),approved_gigs_count,RANGE,21,50,,count,,,0.06,FALSE
FV-2030e,Supply,Approved Gigs (51+),approved_gigs_count,RANGE,51,1000000,,count,,,0.06,FALSE
FV-2040a,Portfolio,Portfolio Projects (0),portfolio_projects_count,RANGE,0,0,,count,,,0.05,FALSE
