source,id,parentId,priority,match_type,category,businessRuleLabel,likert_value,likert_label,ALL_OF,ANY_OF,NONE_OF,threshold_attr,weight
LinkedIn,1000,null,1,profile,Authenticity,Profile Present Scale,1,Very Low,,,LI-1000,,-2
LinkedIn,1000,null,1,profile,Authenticity,Profile Present Scale,2,Low,,,LI-1000,,-1
LinkedIn,1000,null,1,profile,Authenticity,Profile Present Scale,3,Medium,LI-1000,,,,0
LinkedIn,1000,null,1,profile,Authenticity,Profile Present Scale,4,High,LI-1000,,,,1
LinkedIn,1000,null,1,profile,Authenticity,Profile Present Scale,5,Very High,LI-1000,,,,2
LinkedIn,1001,null,2,profile,Authenticity,Profile Image Present Scale,1,Very Low,,,LI-1001,,-2
LinkedIn,1001,null,2,profile,Authenticity,Profile Image Present Scale,2,Low,,,LI-1001,,-1
LinkedIn,1001,null,2,profile,Authenticity,Profile Image Present Scale,3,Medium,LI-1001,,,,0
LinkedIn,1001,null,2,profile,Authenticity,Profile Image Present Scale,4,High,LI-1001,,,,1
LinkedIn,1001,null,2,profile,Authenticity,Profile Image Present Scale,5,Very High,LI-1001,,,,2
LinkedIn,1002,null,3,profile,Authenticity,About Present Scale,1,Very Low,,,LI-1002,,-2
LinkedIn,1002,null,3,profile,Authenticity,About Present Scale,2,Low,,,LI-1002,,-1
LinkedIn,1002,null,3,profile,Authenticity,About Present Scale,3,Medium,LI-1002,,,,0
LinkedIn,1002,null,3,profile,Authenticity,About Present Scale,4,High,LI-1002,,,,1
LinkedIn,1002,null,3,profile,Authenticity,About Present Scale,5,Very High,LI-1002,,,,2
LinkedIn,1003,null,4,profile,Authenticity,Location Present Scale,1,Very Low,,,LI-1003,,-2
LinkedIn,1003,null,4,profile,Authenticity,Location Present Scale,2,Low,,,LI-1003,,-1
LinkedIn,1003,null,4,profile,Authenticity,Location Present Scale,3,Medium,LI-1003,,,,0
LinkedIn,1003,null,4,profile,Authenticity,Location Present Scale,4,High,LI-1003,,,,1
LinkedIn,1003,null,4,profile,Authenticity,Location Present Scale,5,Very High,LI-1003,,,,2
LinkedIn,1004,null,5,profile,Authenticity,Country Present Scale,1,Very Low,,,LI-1004,,-2
LinkedIn,1004,null,5,profile,Authenticity,Country Present Scale,2,Low,,,LI-1004,,-1
LinkedIn,1004,null,5,profile,Authenticity,Country Present Scale,3,Medium,LI-1004,,,,0
LinkedIn,1004,null,5,profile,Authenticity,Country Present Scale,4,High,LI-1004,,,,1
LinkedIn,1004,null,5,profile,Authenticity,Country Present Scale,5,Very High,LI-1004,,,,2
LinkedIn,1005,null,6,profile,Authenticity,Public Email Present Scale,1,Very Low,,,LI-1005,,-2
LinkedIn,1005,null,6,profile,Authenticity,Public Email Present Scale,2,Low,,,LI-1005,,-1
LinkedIn,1005,null,6,profile,Authenticity,Public Email Present Scale,3,Medium,LI-1005,,,,0
LinkedIn,1005,null,6,profile,Authenticity,Public Email Present Scale,4,High,LI-1005,,,,1
LinkedIn,1005,null,6,profile,Authenticity,Public Email Present Scale,5,Very High,LI-1005,,,,2
LinkedIn,1006,null,7,profile,Authenticity,Current Company Present Scale,1,Very Low,,,LI-1006,,-2
LinkedIn,1006,null,7,profile,Authenticity,Current Company Present Scale,2,Low,,,LI-1006,,-1
LinkedIn,1006,null,7,profile,Authenticity,Current Company Present Scale,3,Medium,LI-1006,,,,0
LinkedIn,1006,null,7,profile,Authenticity,Current Company Present Scale,4,High,LI-1006,,,,1
LinkedIn,1006,null,7,profile,Authenticity,Current Company Present Scale,5,Very High,LI-1006,,,,2
LinkedIn,1007,null,8,profile,Authenticity,Current Title Present Scale,1,Very Low,,,LI-1007,,-2
LinkedIn,1007,null,8,profile,Authenticity,Current Title Present Scale,2,Low,,,LI-1007,,-1
LinkedIn,1007,null,8,profile,Authenticity,Current Title Present Scale,3,Medium,LI-1007,,,,0
LinkedIn,1007,null,8,profile,Authenticity,Current Title Present Scale,4,High,LI-1007,,,,1
LinkedIn,1007,null,8,profile,Authenticity,Current Title Present Scale,5,Very High,LI-1007,,,,2
LinkedIn,1008,null,9,profile,Authenticity,HTTPS Website Present Scale,1,Very Low,,,LI-1008,,-2
LinkedIn,1008,null,9,profile,Authenticity,HTTPS Website Present Scale,2,Low,,,LI-1008,,-1
LinkedIn,1008,null,9,profile,Authenticity,HTTPS Website Present Scale,3,Medium,LI-1008,,,,0
LinkedIn,1008,null,9,profile,Authenticity,HTTPS Website Present Scale,4,High,LI-1008,,,,1
LinkedIn,1008,null,9,profile,Authenticity,HTTPS Website Present Scale,5,Very High,LI-1008,,,,2
LinkedIn,1009,null,10,profile,Authenticity,Custom Vanity URL Scale,1,Very Low,,,LI-1009,,-2
LinkedIn,1009,null,10,profile,Authenticity,Custom Vanity URL Scale,2,Low,,,LI-1009,,-1
LinkedIn,1009,null,10,profile,Authenticity,Custom Vanity URL Scale,3,Medium,LI-1009,,,,0
LinkedIn,1009,null,10,profile,Authenticity,Custom Vanity URL Scale,4,High,LI-1009,,,,1
LinkedIn,1009,null,10,profile,Authenticity,Custom Vanity URL Scale,5,Very High,LI-1009,,,,2
LinkedIn,1010,null,11,profile,Authenticity,Name vs Username Distinct Scale,1,Very Low,,,LI-1010,,-2
LinkedIn,1010,null,11,profile,Authenticity,Name vs Username Distinct Scale,2,Low,,,LI-1010,,-1
LinkedIn,1010,null,11,profile,Authenticity,Name vs Username Distinct Scale,3,Medium,LI-1010,,,,0
LinkedIn,1010,null,11,profile,Authenticity,Name vs Username Distinct Scale,4,High,LI-1010,,,,1
LinkedIn,1010,null,11,profile,Authenticity,Name vs Username Distinct Scale,5,Very High,LI-1010,,,,2
LinkedIn,1011,null,12,profile,Authenticity,Background Photo Present Scale,1,Very Low,,,LI-1002,,-2
LinkedIn,1011,null,12,profile,Authenticity,Background Photo Present Scale,2,Low,,,LI-1002,,-1
LinkedIn,1011,null,12,profile,Authenticity,Background Photo Present Scale,3,Medium,LI-1002,,,,0
LinkedIn,1011,null,12,profile,Authenticity,Background Photo Present Scale,4,High,LI-1002,,,,1
LinkedIn,1011,null,12,profile,Authenticity,Background Photo Present Scale,5,Very High,LI-1002,,,,2
LinkedIn,1012,null,13,profile,Authenticity,Public Profile URL Present Scale,1,Very Low,,,LI-1008,,-2
LinkedIn,1012,null,13,profile,Authenticity,Public Profile URL Present Scale,2,Low,,,LI-1008,,-1
LinkedIn,1012,null,13,profile,Authenticity,Public Profile URL Present Scale,3,Medium,LI-1008,,,,0
LinkedIn,1012,null,13,profile,Authenticity,Public Profile URL Present Scale,4,High,LI-1008,,,,1
LinkedIn,1012,null,13,profile,Authenticity,Public Profile URL Present Scale,5,Very High,LI-1008,,,,2
LinkedIn,1013,null,14,profile,Authenticity,Company Name Present Scale,1,Very Low,,,LI-2017,,-2
LinkedIn,1013,null,14,profile,Authenticity,Company Name Present Scale,2,Low,,,LI-2017,,-1
LinkedIn,1013,null,14,profile,Authenticity,Company Name Present Scale,3,Medium,LI-2017,,,,0
LinkedIn,1013,null,14,profile,Authenticity,Company Name Present Scale,4,High,LI-2017,,,,1
LinkedIn,1013,null,14,profile,Authenticity,Company Name Present Scale,5,Very High,LI-2017,,,,2
LinkedIn,1014,null,15,profile,Authenticity,Company Industry Present Scale,1,Very Low,,,LI-2018,,-2
