id,category,label,metric,operator,value_low,value_high,value_exact,unit,window_value,window_unit,weight,is_gate
LI-1000,Authenticity,Profile Present,profile_present,EXISTS,,,,boolean,,,0.04,FALSE
LI-1001,Authenticity,Profile Image Present,profile_image_present,EXISTS,,,,boolean,,,0.03,FALSE
LI-1002,Authenticity,About Present,about_present,EXISTS,,,,boolean,,,0.02,FALSE
LI-1003,Authenticity,Location Present,location_present,EXISTS,,,,boolean,,,0.02,FALSE
LI-1004,Authenticity,Country Present,country_present,EXISTS,,,,boolean,,,0.02,FALSE
LI-1005,Authenticity,Public Email Present,public_email_present,EXISTS,,,,boolean,,,0.02,FALSE
LI-1006,Authenticity,Current Company Present,current_company_present,EXISTS,,,,boolean,,,0.04,FALSE
LI-1007,Authenticity,Current Title Present,current_title_present,EXISTS,,,,boolean,,,0.04,FALSE
LI-1008,Authenticity,HTTPS Website Present,has_https_website,EXISTS,,,,boolean,,,0.02,FALSE
LI-1009,Authenticity,Custom Vanity URL,public_profile_custom_slug,EXISTS,,,,boolean,,,0.02,FALSE
LI-1010,Authenticity,Name vs Username Distinct,name_username_distinct,EXISTS,,,,boolean,,,0.02,FALSE
LI-1101,Authenticity,Headline Length (0–19),headline_length_chars,RANGE,0,19,,chars,,, -0.03,FALSE
LI-1102,Authenticity,Headline Length (20–60),headline_length_chars,RANGE,20,60,,chars,,,-0.01,FALSE
LI-1103,Authenticity,Headline Length (61–120),headline_length_chars,RANGE,61,120,,chars,,,0.02,FALSE
LI-1104,Authenticity,Headline Length (121–180),headline_length_chars,RANGE,121,180,,chars,,,0.03,FALSE
LI-1105,Authenticity,Headline Length (181+),headline_length_chars,RANGE,181,1000000,,chars,,,0.03,FALSE
LI-1201,Authenticity,About Length (0–99),about_length_chars,RANGE,0,99,,chars,,,-0.02,FALSE
LI-1202,Authenticity,About Length (100–299),about_length_chars,RANGE,100,299,,chars,,,0.00,FALSE
LI-1203,Authenticity,About Length (300–799),about_length_chars,RANGE,300,799,,chars,,,0.03,FALSE
LI-1204,Authenticity,About Length (800–1499),about_length_chars,RANGE,800,1499,,chars,,,0.04,FALSE
LI-1205,Authenticity,About Length (1500+),about_length_chars,RANGE,1500,1000000,,chars,,,0.05,FALSE
LI-1301,Authenticity,Current Role Tenure (0–2 mo),current_role_tenure_months,RANGE,0,2,,months,,,-0.03,FALSE
LI-1302,Authenticity,Current Role Tenure (3–12 mo),current_role_tenure_months,RANGE,3,12,,months,,,-0.01,FALSE
LI-1303,Authenticity,Current Role Tenure (13–24 mo),current_role_tenure_months,RANGE,13,24,,months,,,0.01,FALSE
LI-1304,Authenticity,Current Role Tenure (25–36 mo),current_role_tenure_months,RANGE,25,36,,months,,,0.02,FALSE
LI-1305,Authenticity,Current Role Tenure (37+ mo),current_role_tenure_months,RANGE,37,1000000,,months,,,0.03,FALSE
LI-2001,Capability,Experience Count (0),experience_count,RANGE,0,0,,count,,,-0.04,FALSE
LI-2002,Capability,Experience Count (1–2),experience_count,RANGE,1,2,,count,,,-0.01,FALSE
LI-2003,Capability,Experience Count (3–5),experience_count,RANGE,3,5,,count,,,0.02,FALSE
LI-2004,Capability,Experience Count (6–10),experience_count,RANGE,6,10,,count,,,0.03,FALSE
LI-2005,Capability,Experience Count (11+),experience_count,RANGE,11,1000000,,count,,,0.04,FALSE
LI-2101,Capability,Education Count (0),education_count,RANGE,0,0,,count,,,0.00,FALSE
LI-2102,Capability,Education Count (1),education_count,RANGE,1,1,,count,,,0.01,FALSE
LI-2103,Capability,Education Count (2–3),education_count,RANGE,2,3,,count,,,0.02,FALSE
LI-2104,Capability,Education Count (4–5),education_count,RANGE,4,5,,count,,,0.03,FALSE
LI-2105,Capability,Education Count (6+),education_count,RANGE,6,1000000,,count,,,0.04,FALSE
LI-2201,Capability,Languages Count (0),languages_count,RANGE,0,0,,count,,,0.00,FALSE
LI-2202,Capability,Languages Count (1–2),languages_count,RANGE,1,2,,count,,,0.01,FALSE
LI-2203,Capability,Languages Count (3–4),languages_count,RANGE,3,4,,count,,,0.02,FALSE
LI-2204,Capability,Languages Count (5–6),languages_count,RANGE,5,6,,count,,,0.03,FALSE
LI-2205,Capability,Languages Count (7+),languages_count,RANGE,7,1000000,,count,,,0.04,FALSE
LI-2301,Capability,Followers (0–99),followers_count,RANGE,0,99,,count,,,-0.02,FALSE
LI-2302,Capability,Followers (100–499),followers_count,RANGE,100,499,,count,,,0.01,FALSE
LI-2303,Capability,Followers (500–999),followers_count,RANGE,500,999,,count,,,0.03,FALSE
LI-2304,Capability,Followers (1000–4999),followers_count,RANGE,1000,4999,,count,,,0.04,FALSE
LI-2305,Capability,Followers (5000+),followers_count,RANGE,5000,100000000,,count,,,0.06,FALSE
LI-2401,Authenticity,Websites Listed (0),websites_count,RANGE,0,0,,count,,,0.00,FALSE
LI-2402,Authenticity,Websites Listed (1),websites_count,RANGE,1,1,,count,,,0.01,FALSE
LI-2403,Authenticity,Websites Listed (2–3),websites_count,RANGE,2,3,,count,,,0.02,FALSE
