id,category,label,metric,operator,value_low,value_high,value_exact,unit,window_value,window_unit,weight,is_gate
SE-1001,Authenticity,Profile Image Present,profile_image_present,EXISTS,,,,boolean,,,0.03,FALSE
SE-1002,Authenticity,Profile Link Present,profile_link_present,EXISTS,,,,boolean,,,0.02,FALSE
SE-1003,Authenticity,Display Name Present,display_name_present,EXISTS,,,,boolean,,,0.02,FALSE
SE-2001a,Activity,Account Age Years (0–0.99),account_age_years,RANGE,0,0.99,,years,,,0.06,FALSE
SE-2001b,Activity,Account Age Years (1–3.99),account_age_years,RANGE,1,3.99,,years,,,0.03,FALSE
SE-2001c,Activity,Account Age Years (4+),account_age_years,RANGE,4,1000,,years,,,0.06,FALSE
SE-2002a,Activity,Last Access Days (0–7),last_access_days,RANGE,0,7,,days,,,0.05,FALSE
SE-2002b,Activity,Last Access Days (8–30),last_access_days,RANGE,8,30,,days,,,0.03,FALSE
SE-2002c,Activity,Last Access Days (31–90),last_access_days,RANGE,31,90,,days,,,0.00,FALSE
SE-2002d,Activity,Last Access Days (91–365),last_access_days,RANGE,91,365,,days,,,-0.03,FALSE
SE-2002e,Activity,Last Access Days (366+),last_access_days,RANGE,366,100000,,days,,,-0.06,FALSE
SE-3001a,Capability,Reputation (0–99),reputation_total,RANGE,0,99,,count,,,-0.05,FALSE
SE-3001b,Capability,Reputation (100–999),reputation_total,RANGE,100,999,,count,,,-0.02,FALSE
SE-3001c,Capability,Reputation (1000–9999),reputation_total,RANGE,1000,9999,,count,,,0.02,FALSE
SE-3001d,Capability,Reputation (10000–49999),reputation_total,RANGE,10000,49999,,count,,,0.05,FALSE
SE-3001e,Capability,Reputation (50000+),reputation_total,RANGE,50000,100000000,,count,,,0.08,FALSE
SE-3002a,Capability,Gold Badges (0),badge_gold_count,RANGE,0,0,,count,,,-0.02,FALSE
SE-3002b,Capability,Gold Badges (1–2),badge_gold_count,RANGE,1,2,,count,,,0.01,FALSE
SE-3002c,Capability,Gold Badges (3–5),badge_gold_count,RANGE,3,5,,count,,,0.03,FALSE
SE-3002d,Capability,Gold Badges (6–9),badge_gold_count,RANGE,6,9,,count,,,0.04,FALSE
SE-3002e,Capability,Gold Badges (10+),badge_gold_count,RANGE,10,1000000,,count,,,0.06,FALSE
SE-3003a,Capability,Silver Badges (0),badge_silver_count,RANGE,0,0,,count,,,-0.02,FALSE
SE-3003b,Capability,Silver Badges (1–2),badge_silver_count,RANGE,1,2,,count,,,0.01,FALSE
SE-3003c,Capability,Silver Badges (3–5),badge_silver_count,RANGE,3,5,,count,,,0.02,FALSE
SE-3003d,Capability,Silver Badges (6–9),badge_silver_count,RANGE,6,9,,count,,,0.03,FALSE
SE-3003e,Capability,Silver Badges (10+),badge_silver_count,RANGE,10,1000000,,count,,,0.05,FALSE
SE-3004a,Capability,Bronze Badges (0),badge_bronze_count,RANGE,0,0,,count,,,-0.01,FALSE
SE-3004b,Capability,Bronze Badges (1–2),badge_bronze_count,RANGE,1,2,,count,,,0.01,FALSE
SE-3004c,Capability,Bronze Badges (3–5),badge_bronze_count,RANGE,3,5,,count,,,0.02,FALSE
SE-3004d,Capability,Bronze Badges (6–9),badge_bronze_count,RANGE,6,9,,count,,,0.03,FALSE
SE-3004e,Capability,Bronze Badges (10+),badge_bronze_count,RANGE,10,1000000,,count,,,0.04,FALSE
SE-3005a,Capability,Answers Count (0),answer_count,RANGE,0,0,,count,,,-0.04,FALSE
SE-3005b,Capability,Answers Count (1–9),answer_count,RANGE,1,9,,count,,,-0.01,FALSE
SE-3005c,Capability,Answers Count (10–49),answer_count,RANGE,10,49,,count,,,0.02,FALSE
SE-3005d,Capability,Answers Count (50–199),answer_count,RANGE,50,199,,count,,,0.04,FALSE
SE-3005e,Capability,Answers Count (200+),answer_count,RANGE,200,1000000,,count,,,0.06,FALSE
SE-3006a,Capability,Questions Count (0),question_count,RANGE,0,0,,count,,,0.00,FALSE
SE-3006b,Capability,Questions Count (1–4),question_count,RANGE,1,4,,count,,,0.01,FALSE
SE-3006c,Capability,Questions Count (5–14),question_count,RANGE,5,14,,count,,,0.02,FALSE
SE-3006d,Capability,Questions Count (15–49),question_count,RANGE,15,49,,count,,,0.03,FALSE
SE-3006e,Capability,Questions Count (50+),question_count,RANGE,50,1000000,,count,,,0.04,FALSE
SE-3007a,Capability,Upvote Ratio (<0.60),upvote_ratio,RANGE,0,0.59,,ratio,,,-0.03,FALSE
SE-3007b,Capability,Upvote Ratio (0.60–0.75),upvote_ratio,RANGE,0.6,0.75,,ratio,,,-0.01,FALSE
SE-3007c,Capability,Upvote Ratio (0.76–0.89),upvote_ratio,RANGE,0.76,0.89,,ratio,,,0.01,FALSE
SE-3007d,Capability,Upvote Ratio (0.90–0.97),upvote_ratio,RANGE,0.9,0.97,,ratio,,,0.03,FALSE
SE-3007e,Capability,Upvote Ratio (>=0.98),upvote_ratio,RANGE,0.98,1,,ratio,,,0.05,FALSE
SE-3008a,Capability,Votes Cast Total (0),votes_cast_total,RANGE,0,0,,count,,,0.00,FALSE
SE-3008b,Capability,Votes Cast Total (1–49),votes_cast_total,RANGE,1,49,,count,,,0.01,FALSE
SE-3008c,Capability,Votes Cast Total (50–199),votes_cast_total,RANGE,50,199,,count,,,0.02,FALSE
SE-3008d,Capability,Votes Cast Total (200–999),votes_cast_total,RANGE,200,999,,count,,,0.03,FALSE
SE-3008e,Capability,Votes Cast Total (1000+),votes_cast_total,RANGE,1000,100000000,,count,,,0.04,FALSE
SE-3009a,Capability,Answer to Question Ratio (<0.5),answers_questions_ratio,RANGE,0,0.49,,ratio,,,-0.03,FALSE
SE-3009b,Capability,Answer to Question Ratio (0.5–1.0),answers_questions_ratio,RANGE,0.5,1,,ratio,,,0.00,FALSE
SE-3009c,Capability,Answer to Question Ratio (1.01–2.0),answers_questions_ratio,RANGE,1.01,2,,ratio,,,0.02,FALSE
SE-3009d,Capability,Answer to Question Ratio (2.01–5.0),answers_questions_ratio,RANGE,2.01,5,,ratio,,,0.04,FALSE
SE-3009e,Capability,Answer to Question Ratio (>5.0),answers_questions_ratio,RANGE,5.01,1000000,,ratio,,,0.06,FALSE
